Stats snapshot for 2026-05-24
Compared to: 2026-05-23

TITLE                                                              V   +24h    /day    L   C     STATUS
----------------------------------------------------------------------------------------------------
My GPS Keeps Telling Me to Take an Exit That Does Not Exist     1170      —    59.2   31   2     public
We Moved Into a House That Was Suspiciously Cheap and Now I     1089     +1    49.5   30   0     public
There Is a Door in My Basement That Wasn't There Last Week |     997     +1    42.0   18   0     public
I Found a Cassette Tape Labeled DO NOT PLAY in My Late Uncle     889      —    39.5   23   2     public
I Have a Daughter Who Is Not in Any of the Family Photos. Bu     883      —    40.6   43   0     public
My Grandmother's House Has a Room That Everyone in the Famil     681      —    35.9   20   2     public
My Smart Doorbell Keeps Recording Someone Standing in Our Ha     648      —    30.8   24   2     public
I Went Hiking Alone and Found a Campsite That Had Been Waiti     538      —    23.6   17   0     public
I Was a Security Guard at an Empty Hospital Before They Tore     526      —    25.7   20   0     public
I Deliver Food at Night and I Have Learned Which Addresses t     467      —    21.8    9   0     public
I Worked the Night Shift at a Motel Where Eight Rooms Were A     437     +1    25.0   10   0     public
I Worked the Night Shift at a Gas Station Off Highway 49 | T     413      —    16.6   11   0     public
There Is a Room in My House That Only Appears in the Hallway     293      —    31.0    3   0     public
There Is a Video on My Drone's SD Card That I Never Recorded     230      —    11.1    3   0     public
My Smoke Detector Only Beeps When No One Is Home and the App     178      —    23.0    0   0     public
I Remember a Babysitter We Had When I Was Seven. No One Else     149      —     7.5    3   0     public
My Brother Went Missing for Six Hours When We Were Kids and      147      —     6.3    7   0     public
I Have Dreamed of the Same House My Entire Life. I Found It      136      —     7.3    2   0     public
My Doorbell Camera Records a Child Knocking Every Night at T     125      —    14.3    2   0     public
There Is a Recording on My Answering Machine from Someone I      118      —     4.8    1   0     public
My Imaginary Friend from When I Was Four Has Started Visitin     106      —     5.9    1   0     public
I Found My Grandfather's Old Camcorder and the Last Recordin      90      —     4.6    6   0     public
My Fitness Tracker Logs a Heart Rate Spike at 11:47 PM Every      85     +5    57.7    0   0     public
I Have Hiked the Same Three Mile Trail for Nine Years. This       84      —     7.2    1   0     public
I Took a Wrong Turn on a Back Road and Ended Up in the Same       82      —     5.3    0   0     public
My Doorbell Logs Motion Every Night at 3:17 AM. The Porch Is      76      —    76.0    0   0     public
My Front Door Keeps Getting Locked from the Inside While I A      71      —    15.9    0   0     public
Every Wedding Photo on Our Wall Shows a Fifth Person Standin      69      —     9.9    0   0     public
My Sleep Tracker Has 43 Missing Nights. I Have No Memory of       68      —     4.5    0   0     public
My Birth Certificate Was Signed by a Doctor Who Died Two Yea      64      —     4.9    0   0     public
My Electricity Bill Is for a House That Was Demolished in Ni      63      —     4.9    0   0     public
There Was an Empty House at the End of My Street That the Ad      56     +2     3.0    3   0     public
My Night Shift at the Call Center Kept Getting Calls from a       54      —     2.4    2   0     public
My Truck Broke Down on a Highway with No Other Cars for Thre      51      —     3.7    0   0     public
My Building's Elevator Stops at Floor 13 Every Thursday at 7      48      —    12.2    0   0     public
My Smart Lock Shows Someone Entering My House Every Night at      47      —     3.2    0   0     public
My Daughter's Kindergarten Drawings All Show a Tall Man in a      46      —     4.6    1   0     public
The Backseat Seatbelt of My Car Is Buckled Every Morning. I       43     +5    11.5    0   0     public
My Calendar Has a Recurring Friday Meeting I Did Not Create       35      —     5.9    0   0     public
I Bought a Box of Unmarked VHS Tapes at an Estate Sale for T      34      —     3.0    0   0     public
My House Key Fits a Stranger's Front Door Three Blocks Away       31      —     3.7    1   0     public
My Phone Shows Me Visiting an Abandoned House Every Night at      27     +2     1.6    1   0     public
The Word HELLO Appears in the Steam on My Bathroom Mirror Ev      26      —     7.5    0   0     public
My Cat Brings Me Antique Objects Every Morning From a Baseme      26      —     4.5    0   0     public
I Drove Through a Town That Was Not on Any Map I Owned | Tru      26      —     1.9    0   0     public
I Worked Night Shift at a Storage Facility on Old Lapeer Roa      24     +1     1.9    0   0     public
My Wife Is Not in Any of Our Wedding Photos. No One Else Fin      22      —     3.4    0   0     public
My Downstairs Neighbor Sweeps Every Night at 2:30 AM. He Has      19     +3     4.5    0   0     public
The New House Came with a Baby Monitor in the Attic That We       19      —     0.8    0   0     public
The Closet Light in My Apartment Is On Every Morning. The Fi      16     +5     6.5    0   0     public
My New Neighbor Knows Things About Me He Should Not Know | T      16      —     1.0    0   0     public
Our Family Christmas Card from 1998 Has Gained an Extra Chil      14     +1     2.6    0   0     public
I Found a Roll of Undeveloped Film in My Dead Grandmother's       14      —     1.9    0   0     public
I Bought a Used Phone Online and Someone Is Still Receiving       14      —     1.3    0   0     public
My Router Logs Show My Dead Father's Laptop Connecting Every      13      —     0.8    0   0     public
My Ceiling Fan Rotates Counterclockwise Every Sunday. The Ch      12     +2     4.1    0   0     public
I Worked at a Remote Weather Station and Something Started L      12      —     1.1    0   0     public
My Elderly Neighbor's Voice Assistant Kept Asking Her Questi      12      —     1.1    0   0     public
The Previous Tenant Left a Calendar Marked HE COMES BY Every      12      —     1.0    0   0     public
My Dishwasher Only Finishes Its Cycle When I Am Asleep. It S      11      —     2.2    0   0     public
Letters In My Mailbox Are Addressed To People Who Never Live      11      —     1.6    0   0     public
My Phone Call Log Shows a Three Minute Call Every Tuesday at      11      —     1.5    0   0     public
A Grey Sedan Has Been in My Grocery Store Lot Every Single V      10      —     1.0    0   0     public
The Amazon Driver on My Route Has Not Aged in Eleven Years |       9     +9     9.0    0   0     public
My Dashcam Keeps Saving Footage From Roads I Have Never Driv       9      —     0.5    0   0     public
The Polaroid Camera I Inherited Only Takes Pictures of One S       7      —     0.4    0   0     public
My Doctor's Office Has Been Calling About Appointments I Do        5      —     1.1    0   0     public
My Dentist Found a Tooth I Don't Remember Growing and the Ro       4      —     0.8    0   0     public
My Building's Fire Escape Ends Three Feet Above the Ground a       3     +2     1.5    0   0     public
I Bought a Used Paperback. The Margin Notes Are in My Handwr       2      —     0.7    0   0     public
I Inherited My Grandmother's House and the Neighbors Think I       2      —     0.3    0   0     public
I Keep Finding Receipts in My Jacket Pockets for Places I Ha       2      —     0.2    0   0     public
My Dog Barks at the Exact Same Spot in the Kitchen at Eleven       2      —     0.2    0   0     public
The Landline in My New House Describes My Day Before It Happ       1     +1     1.0    0   0     public
I Bought a Box of Cassettes at a Yard Sale. Every Tape Plays       1      —     0.2    0   0     public
My Smart Home Started Obeying a Voice That Is Not Mine. It K       1      —     0.1    0   0     public
The Man My Mother Is Dating Is Wearing My Father's Wedding R       1      —     0.1    0   0     public
