Stats snapshot for 2026-05-20
Compared to: 2026-05-19

TITLE                                                              V   +24h    /day    L   C     STATUS
----------------------------------------------------------------------------------------------------
My GPS Keeps Telling Me to Take an Exit That Does Not Exist     1170      —    73.0   31   2     public
We Moved Into a House That Was Suspiciously Cheap and Now I     1083      —    59.2   30   0     public
There Is a Door in My Basement That Wasn't There Last Week |     993      —    49.6   18   0     public
I Found a Cassette Tape Labeled DO NOT PLAY in My Late Uncle     889      —    47.4   23   2     public
I Have a Daughter Who Is Not in Any of the Family Photos. Bu     883      —    49.0   43   0     public
My Grandmother's House Has a Room That Everyone in the Famil     680      —    44.6   20   2     public
My Smart Doorbell Keeps Recording Someone Standing in Our Ha     648      —    37.5   24   2     public
I Went Hiking Alone and Found a Campsite That Had Been Waiti     538      —    28.3   17   0     public
I Was a Security Guard at an Empty Hospital Before They Tore     526      —    31.4   20   0     public
I Deliver Food at Night and I Have Learned Which Addresses t     463      —    26.1    9   0     public
I Worked the Night Shift at a Motel Where Eight Rooms Were A     432     +1    31.4   10   0     public
I Worked the Night Shift at a Gas Station Off Highway 49 | T     413      —    19.5   11   0     public
There Is a Room in My House That Only Appears in the Hallway     293     +1    51.1    3   0     public
There Is a Video on My Drone's SD Card That I Never Recorded     230      —    13.5    3   0     public
My Smoke Detector Only Beeps When No One Is Home and the App     174      —    43.3    0   0     public
I Remember a Babysitter We Had When I Was Seven. No One Else     149      —     9.2    3   0     public
My Brother Went Missing for Six Hours When We Were Kids and      147      —     7.5    7   0     public
I Have Dreamed of the Same House My Entire Life. I Found It      136      —     9.1    2   0     public
My Doorbell Camera Records a Child Knocking Every Night at T     125      —    24.9    2   0     public
There Is a Recording on My Answering Machine from Someone I      118      —     5.7    1   0     public
My Imaginary Friend from When I Was Four Has Started Visitin     106      —     7.5    1   0     public
I Found My Grandfather's Old Camcorder and the Last Recordin      87      —     5.5    6   0     public
I Have Hiked the Same Three Mile Trail for Nine Years. This       84      —    10.5    1   0     public
I Took a Wrong Turn on a Back Road and Ended Up in the Same       82      —     7.0    0   0     public
Every Wedding Photo on Our Wall Shows a Fifth Person Standin      69      —    21.1    0   0     public
My Sleep Tracker Has 43 Missing Nights. I Have No Memory of       68      —     6.0    0   0     public
My Front Door Keeps Getting Locked from the Inside While I A      64      —    64.0    0   0     public
My Birth Certificate Was Signed by a Doctor Who Died Two Yea      64      —     6.9    0   0     public
My Electricity Bill Is for a House That Was Demolished in Ni      63      —     7.0    0   0     public
There Was an Empty House at the End of My Street That the Ad      54      —     3.7    3   0     public
My Night Shift at the Call Center Kept Getting Calls from a       53      —     2.8    2   0     public
My Truck Broke Down on a Highway with No Other Cars for Thre      51      —     5.1    0   0     public
My Smart Lock Shows Someone Entering My House Every Night at      47      —     4.4    0   0     public
My Daughter's Kindergarten Drawings All Show a Tall Man in a      46      —     7.4    1   0     public
My Building's Elevator Stops at Floor 13 Every Thursday at 7      36      —    36.0    0   0     public
I Bought a Box of Unmarked VHS Tapes at an Estate Sale for T      34      —     4.4    0   0     public
My House Key Fits a Stranger's Front Door Three Blocks Away       30      —     6.3    1   0     public
I Drove Through a Town That Was Not on Any Map I Owned | Tru      25      —     2.4    0   0     public
I Worked Night Shift at a Storage Facility on Old Lapeer Roa      23      —     2.6    0   0     public
My Phone Shows Me Visiting an Abandoned House Every Night at      22      —     1.7    1   0     public
The New House Came with a Baby Monitor in the Attic That We       19      —     0.9    0   0     public
My New Neighbor Knows Things About Me He Should Not Know | T      15      —     1.1    0   0     public
I Found a Roll of Undeveloped Film in My Dead Grandmother's       14     +1     4.0    0   0     public
I Bought a Used Phone Online and Someone Is Still Receiving       14      —     1.9    0   0     public
My Wife Is Not in Any of Our Wedding Photos. No One Else Fin      13     +3     4.8    0   0     public
My Router Logs Show My Dead Father's Laptop Connecting Every      13      —     1.1    0   0     public
I Worked at a Remote Weather Station and Something Started L      12      —     1.8    0   0     public
My Elderly Neighbor's Voice Assistant Kept Asking Her Questi      12      —     1.7    0   0     public
The Previous Tenant Left a Calendar Marked HE COMES BY Every      12      —     1.5    0   0     public
My Downstairs Neighbor Sweeps Every Night at 2:30 AM. He Has      11      —    11.0    0   0     public
Our Family Christmas Card from 1998 Has Gained an Extra Chil      11     +3     6.4    0   0     public
My Phone Call Log Shows a Three Minute Call Every Tuesday at      11      —     2.9    0   0     public
My Dishwasher Only Finishes Its Cycle When I Am Asleep. It S      10     +8     8.1    0   0     public
Letters In My Mailbox Are Addressed To People Who Never Live       9     +2     3.0    0   0     public
A Grey Sedan Has Been in My Grocery Store Lot Every Single V       9      —     1.5    0   0     public
My Calendar Has a Recurring Friday Meeting I Did Not Create        8     +3     3.6    0   0     public
My Dashcam Keeps Saving Footage From Roads I Have Never Driv       8     +1     0.6    0   0     public
The Polaroid Camera I Inherited Only Takes Pictures of One S       7      —     0.6    0   0     public
My Cat Brings Me Antique Objects Every Morning From a Baseme       6     +2     3.0    0   0     public
The Backseat Seatbelt of My Car Is Buckled Every Morning. I        5      —     5.0    0   0     public
My Dentist Found a Tooth I Don't Remember Growing and the Ro       4      —     2.7    0   0     public
I Inherited My Grandmother's House and the Neighbors Think I       2      —     0.8    0   0     public
My Dog Barks at the Exact Same Spot in the Kitchen at Eleven       2      —     0.4    0   0     public
I Keep Finding Receipts in My Jacket Pockets for Places I Ha       1      —     0.2    0   0     public
My Smart Home Started Obeying a Voice That Is Not Mine. It K       1      —     0.1    0   0     public
The Man My Mother Is Dating Is Wearing My Father's Wedding R       1      —     0.1    0   0     public
I Bought a Box of Cassettes at a Yard Sale. Every Tape Plays       0      —     0.0    0   0     public
My Doctor's Office Has Been Calling About Appointments I Do        0      —     0.0    0   0     public
My Building's Basement Door Labeled 1B. No Such Apartment Ex       0      —     0.0    0   0     public
My Bedroom Ceiling Has a Water Stain in the Shape of My Own        0      —     0.0    0   0     public
My Security Camera Saves 47 Seconds of Footage Every Night a       0      —     0.0    0   0     public
I Have a Twin I Did Not Know About Until Last Summer | True        0      —     0.0    0   0     public
